Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win bytes forward,Init Win bytes backward,act data pkt fwd,min seg size forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Label
6,55043,3,14,0.0,24156.0,0.0,0.0,0.0,0.0,3318.0,0.0,1725.4285714285716,1161.7438956675776,438856.8937012881,308.84944497937977,3440.1875,9558.055382546878,36012.0,1.0,38814.0,19407.0,27444.22839141228,38813.0,1.0,19031.0,1463.9230769230774,4425.122944837022,15986.0,2.0,0,60,280,54.502843231655255,254.3466017477245,0.0,3318.0,1342.0000000000005,1255.7523172795425,1576913.882352941,0,0,0,0,0,1,1,0,4.0,1420.9411764705883,0.0,1725.4285714285709,3,0,14,24156,256,1892,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
17,22530,2,2,70.0,174.0,35.0,35.0,35.0,0.0,87.0,87.0,87.0,0.0,10830.004438526408,177.5410563692854,7510.0,13002.50541241956,22524.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,40,40,88.7705281846427,88.7705281846427,35.0,87.0,55.8,28.48157299026864,811.2,0,0,0,0,0,0,0,0,1.0,69.75,35.0,87.0,2,70,2,174,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
17,31817325,24,0,1200.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,37.71530133347162,0.7543060266694325,1383361.9565217393,5988226.010752087,28821270.0,1.0,31817325.0,1383361.9565217393,5988226.010752087,28821270.0,1.0,0.0,0.0,0.0,0.0,0.0,0,576,0,0.7543060266694325,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.08333333333334,50.0,0.0,24,1200,0,0,-1,-1,23,20,1499288.0,0.0,1499288.0,1499288.0,28821270.0,0.0,28821270.0,28821270.0,1,BENIGN
6,157,1,2,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,114649.68152866242,19108.28025477707,78.5,109.60155108391488,156.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,20,40,6369.426751592358,12738.853503184711,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,8.0,6.0,6.0,1,6,2,12,254,16386,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
6,5572303,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2562130953754669,928717.1666666667,2248151.377491242,5517520.0,2.0,5572303.0,1393075.75,2749750.7401426258,5517520.0,2.0,2.0,2.0,0.0,2.0,2.0,0,124,64,0.8972950681253334,0.3589180272501334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,5,0,2,0,8192,29200,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
6,556,4,0,123.0,0.0,46.0,0.0,30.75,21.68524844220144,0.0,0.0,0.0,0.0,221223.02158273384,7194.244604316547,185.3333333333333,316.6770173746957,551.0,2.0,556.0,185.3333333333333,316.6770173746957,551.0,2.0,0.0,0.0,0.0,0.0,0.0,0,80,0,7194.2446043165455,0.0,0.0,46.0,33.8,19.979989989987484,399.2,0,0,1,0,0,1,0,0,0.0,42.25,30.75,0.0,4,123,0,0,255,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
6,41872,1,3,6.0,18.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,573.175391669851,95.52923194497517,13957.333333333332,23937.89456767937,41598.0,3.0,0.0,0.0,0.0,0.0,0.0,274.0,137.0,189.5046173579948,271.0,3.0,0,20,60,23.882307986243788,71.64692395873138,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,3.0,7.5,6.0,6.0,1,6,3,18,258,238,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
6,53004174,8,2,233.0,92.0,46.0,6.0,29.125,19.80935925984771,46.0,46.0,46.0,0.0,6.131592579859843,0.1886643870726105,5889352.666666668,17644535.182131305,52941431.0,1.0,53004174.0,7572024.857142857,20006041.045155074,52941431.0,1.0,3.0,3.0,0.0,3.0,3.0,0,160,40,0.1509315096580884,0.0377328774145221,6.0,46.0,33.72727272727273,18.352606948828328,336.8181818181818,0,0,1,0,0,1,0,0,0.0,37.1,29.125,46.0,8,233,2,92,254,265,7,20,62262.0,0.0,62262.0,62262.0,52941431.0,0.0,52941431.0,52941431.0,0,BENIGN
17,20937,2,2,86.0,204.0,43.0,43.0,43.0,0.0,102.0,102.0,102.0,0.0,13851.077040645749,191.04933849166545,6979.0,12082.786433600488,20931.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,40,64,95.52466924583273,95.52466924583273,43.0,102.0,66.6,32.3156308928048,1044.3,0,0,0,0,0,0,0,0,1.0,83.25,43.0,102.0,2,86,2,204,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
6,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,64,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,2,0,0,0,308,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
